Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Total_Points
1,1,astrobot_7,PS_USER,,,,,,,,,LSG,1.0,DC,2.0,RR,2.0,GT,2.0,7.0
1,1,gooffyluffyy,Luffy,MI,1.0,LSG,0.0,GT,1.0,SRH,0.0,LSG,1.0,CSK,0.0,RR,2.0,GT,2.0,7.0
1,1,jadelessbarukan,jadeless,MI,1.0,PBKS,1.0,GT,1.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,7.0
1,1,roarycat,RoaryCat,MI,1.0,PBKS,1.0,GT,1.0,SRH,0.0,MI,0.0,DC,2.0,RR,2.0,SRH,0.0,7.0
2,5,khanatfarm,KHANatFARM,KKR,0.0,LSG,0.0,RCB,0.0,KKR,1.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,6.0
2,5,light_itachi_op,Monkey Uzumaki,KKR,0.0,PBKS,1.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,6.0
2,5,reflekt_11,Reflekt,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,RR,2.0,GT,2.0,6.0
2,5,slidemaster0547,Slide Master,MI,1.0,LSG,0.0,RCB,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,6.0
2,5,sriprakash,Sri Prakash,KKR,0.0,PBKS,1.0,---,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,6.0
2,5,static_25,Static,MI,1.0,PBKS,1.0,RCB,0.0,KKR,1.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,6.0
2,5,thefarzi,Farzi,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,6.0
2,5,tushar07019,,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,6.0
3,13,roguehunter15,RogueHunter,KKR,0.0,LSG,0.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,5.0
3,13,thewebshooter,TheWebShooter,KKR,0.0,LSG,0.0,RCB,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,5.0
3,13,vahgar,Allen The Alien,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,RR,2.0,SRH,0.0,5.0
4,16,billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,MI,1.0,LSG,0.0,RCB,0.0,KKR,1.0,MI,0.0,CSK,0.0,RR,2.0,SRH,0.0,4.0
4,16,crazybats_v,Casper,KKR,0.0,PBKS,1.0,GT,1.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,SRH,0.0,4.0
4,16,croco_boya,Croco,KKR,0.0,---,0.0,---,0.0,KKR,1.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,4.0
4,16,csharp21,CSharp,,,,,,,,,MI,0.0,DC,2.0,RR,2.0,---,0.0,4.0
4,16,dag_21,daggr,MI,1.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,DC,2.0,PBKS,0.0,SRH,0.0,4.0
4,16,darkwolf_newbie,Darkwolf,KKR,0.0,LSG,0.0,GT,1.0,SRH,0.0,LSG,1.0,DC,2.0,---,0.0,SRH,0.0,4.0
4,16,elprofesor6338,Èl Profesor™,KKR,0.0,PBKS,1.0,RCB,0.0,---,0.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,4.0
4,16,hungry_wolf,HungrY_WolF,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,SRH,0.0,4.0
4,16,rishavmaiti,rishavmaiti,MI,1.0,LSG,0.0,GT,1.0,---,0.0,---,0.0,---,0.0,RR,2.0,SRH,0.0,4.0
5,25,emptycases,J,KKR,0.0,PBKS,1.0,GT,1.0,SRH,0.0,LSG,1.0,CSK,0.0,PBKS,0.0,SRH,0.0,3.0
5,25,fezvaz,Vaz,KKR,0.0,---,0.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,SRH,0.0,3.0
5,25,gane_sh,Gane_sh,,,PBKS,1.0,---,0.0,---,0.0,MI,0.0,CSK,0.0,RR,2.0,---,0.0,3.0
5,25,iamthathit,IamthatHit,,,,,RCB,0.0,SRH,0.0,LSG,1.0,---,0.0,---,0.0,GT,2.0,3.0
5,25,ind_mafia_sahil,IND_Mafia_Sahil,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,SRH,0.0,3.0
5,25,the_mizer,DrVimp,MI,1.0,LSG,0.0,GT,1.0,KKR,1.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,3.0
6,31,cdgamers14,cdgamers😎,,,,,RCB,0.0,KKR,1.0,LSG,1.0,---,0.0,---,0.0,---,0.0,2.0
6,31,gladiator30,Gladiator,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,2.0
6,31,maverick7749,Mav,KKR,0.0,LSG,0.0,GT,1.0,KKR,1.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,2.0
6,31,pkmkb6011,Sunny Paaji,,,LSG,0.0,RCB,0.0,---,0.0,---,0.0,CSK,0.0,---,0.0,GT,2.0,2.0
7,35,ashmrth,Ashmrth,,,,,,,,,LSG,1.0,---,0.0,---,0.0,---,0.0,1.0
7,35,fawaz4413,,,,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,---,0.0,1.0
7,35,garageembark,DEFALT,,,PBKS,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
7,35,lelouch1806,lelouch,,,,,,,SRH,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,1.0
7,35,liv4sid,Sid,,,,,,,,,LSG,1.0,---,0.0,---,0.0,---,0.0,1.0
7,35,max._.caulfield,Max,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,1.0
7,35,sayaks05,Cold_fart10,,,PBKS,1.0,---,0.0,---,0.0,MI,0.0,---,0.0,---,0.0,---,0.0,1.0
7,35,speedsterjk,SpeedsterJK,,,PBKS,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
7,35,vader8726,vader,,,,,,,,,LSG,1.0,---,0.0,---,0.0,---,0.0,1.0
8,44,1nv1nc1b1e18,Him.,,,,,RCB,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,44,_simplet0n,ZePHyR,,,,,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,44,colac07,Colac,,,,,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,44,drunk6202,DRUNK GAMBLER 🍻,,,LSG,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,44,ffirsty,FIRSTY,,,LSG,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,44,fullmetal77,FullMetal77,,,,,,,,,MI,0.0,---,0.0,---,0.0,---,0.0,0.0
8,44,insane_dwane,Insane_Dwane,KKR,0.0,LSG,0.0,RCB,0.0,SRH,0.0,MI,0.0,---,0.0,---,0.0,SRH,0.0,0.0
8,44,kakashi019805,Kakashi,,,,,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,44,nullpixel96,Nullpixel96,,,,,,,,,,,,,,,SRH,0.0,0.0
8,44,weezyf.baby_,WEEZY F. Baby,,,LSG,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
