Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Match_9_Team_Short,Match_9_Points,Match_10_Team_Short,Match_10_Points,Match_11_Team_Short,Match_11_Points,Match_12_Team_Short,Match_12_Points,Match_13_Team_Short,Match_13_Points,Match_14_Team_Short,Match_14_Points,Match_15_Team_Short,Match_15_Points,Match_16_Team_Short,Match_16_Points,Match_17_Team_Short,Match_17_Points,Match_18_Team_Short,Match_18_Points,Match_19_Team_Short,Match_19_Points,Match_20_Team_Short,Match_20_Points,Match_21_Team_Short,Match_21_Points,Match_22_Team_Short,Match_22_Points,Match_23_Team_Short,Match_23_Points,Match_24_Team_Short,Match_24_Points,Match_25_Team_Short,Match_25_Points,Match_26_Team_Short,Match_26_Points,Match_27_Team_Short,Match_27_Points,Match_28_Team_Short,Match_28_Points,Match_29_Team_Short,Match_29_Points,Match_30_Team_Short,Match_30_Points,Match_31_Team_Short,Match_31_Points,Match_32_Team_Short,Match_32_Points,Match_33_Team_Short,Match_33_Points,Match_34_Team_Short,Match_34_Points,Match_35_Team_Short,Match_35_Points,Match_36_Team_Short,Match_36_Points,Match_37_Team_Short,Match_37_Points,Match_38_Team_Short,Match_38_Points,Match_39_Team_Short,Match_39_Points,Match_40_Team_Short,Match_40_Points,Match_41_Team_Short,Match_41_Points,Match_42_Team_Short,Match_42_Points,Match_43_Team_Short,Match_43_Points,Match_44_Team_Short,Match_44_Points,Match_45_Team_Short,Match_45_Points,Match_46_Team_Short,Match_46_Points,Match_47_Team_Short,Match_47_Points,Match_48_Team_Short,Match_48_Points,Match_49_Team_Short,Match_49_Points,Total_Points
11,11,static_25,Static,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,DC,2.0,CSK,0.0,MI,1.0,PBKS,1.0,RCB,0.0,KKR,1.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,RCB,1.0,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,CSK,0.0,GT,0.0,SRH,1.5,RR,0.0,DC,0.0,CSK,1.0,PBKS,1.0,DC,1.0,MI,1.0,PBKS,1.0,GT,2.0,RR,0.0,PBKS,0.0,MI,2.0,GT,1.0,DC,1.0,MI,1.0,RR,0.0,CSK,0.0,KKR,0.0,MI,2.0,DC,0.0,GT,0.0,DC,0.0,CSK,0.0,MI,1.0,GT,1.0,CSK,0.0,KKR,2.0,PBKS,2.0,33.5
12,12,insane_dwane,Insane_Dwane,---,0.0,---,0.0,RCB,1.0,GT,1.0,SRH,0.0,---,0.0,KKR,0.0,LSG,0.0,RCB,0.0,SRH,0.0,MI,0.0,---,0.0,---,0.0,SRH,0.0,RCB,1.0,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,SRH,1.5,RCB,2.0,MI,2.0,CSK,1.0,KKR,0.0,RR,0.0,SRH,0.0,RCB,0.0,GT,2.0,RR,0.0,RCB,2.0,---,0.0,KKR,0.0,DC,1.0,SRH,0.0,RCB,3.0,SRH,1.0,KKR,0.0,MI,2.0,RCB,2.0,RR,1.0,KKR,1.0,PBKS,1.0,RR,0.0,SRH,0.0,RCB,1.0,KKR,2.0,PBKS,2.0,32.5
12,12,roguehunter15,RogueHunter,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,RR,2.0,KKR,0.0,LSG,0.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,---,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,LSG,0.0,KKR,0.0,DC,1.0,SRH,0.0,RCB,0.0,DC,0.0,LSG,2.0,PBKS,0.0,CSK,0.0,GT,1.0,LSG,0.0,---,0.0,RCB,3.0,CSK,0.0,PBKS,0.0,MI,2.0,RCB,2.0,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,32.5
13,14,rishavmaiti,rishavmaiti,---,0.0,---,0.0,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,MI,1.0,LSG,0.0,GT,1.0,---,0.0,---,0.0,---,0.0,RR,2.0,SRH,0.0,---,0.0,---,0.0,CSK,0.0,---,0.0,DC,1.0,CSK,0.0,LSG,1.5,SRH,1.5,---,0.0,MI,2.0,CSK,1.0,PBKS,1.0,DC,1.0,MI,1.0,PBKS,1.0,GT,2.0,RR,0.0,RCB,2.0,MI,2.0,KKR,0.0,DC,1.0,MI,1.0,RCB,3.0,CSK,0.0,PBKS,0.0,---,0.0,DC,0.0,GT,0.0,DC,0.0,PBKS,1.0,RR,0.0,---,0.0,CSK,0.0,KKR,2.0,PBKS,2.0,32.0
14,15,apurv5411,APURV,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,---,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,LSG,0.0,PBKS,1.0,DC,1.0,SRH,0.0,RCB,0.0,DC,0.0,LSG,2.0,RCB,2.0,MI,2.0,GT,1.0,LSG,0.0,MI,1.0,RCB,3.0,CSK,0.0,PBKS,0.0,MI,2.0,RCB,2.0,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,31.5
15,16,emptycases,J,---,0.0,SRH,0.0,CSK,0.0,MI,0.0,---,0.0,---,0.0,KKR,0.0,PBKS,1.0,GT,1.0,SRH,0.0,LSG,1.0,CSK,0.0,PBKS,0.0,SRH,0.0,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,KKR,1.0,GT,0.0,---,0.0,RCB,2.0,DC,0.0,LSG,0.0,KKR,0.0,DC,1.0,SRH,0.0,PBKS,1.0,DC,0.0,RR,0.0,PBKS,0.0,MI,2.0,GT,1.0,DC,1.0,SRH,0.0,RCB,3.0,SRH,1.0,KKR,0.0,MI,2.0,DC,0.0,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,30.5
16,17,reflekt_11,Reflekt,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,RR,2.0,GT,2.0,MI,0.0,KKR,0.0,PBKS,1.5,RR,0.0,DC,1.0,CSK,0.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,LSG,0.0,PBKS,1.0,DC,1.0,MI,1.0,RCB,0.0,DC,0.0,RR,0.0,PBKS,0.0,CSK,0.0,---,0.0,DC,1.0,MI,1.0,RCB,3.0,CSK,0.0,PBKS,0.0,MI,2.0,RCB,2.0,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,RR,0.0,PBKS,2.0,28.5
16,17,vahgar,Allen The Alien,RR,0.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,RR,2.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,RR,2.0,SRH,0.0,RCB,1.0,KKR,0.0,PBKS,1.5,RR,0.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RR,0.0,---,0.0,CSK,1.0,PBKS,1.0,RR,0.0,MI,1.0,PBKS,1.0,GT,2.0,RR,0.0,RCB,2.0,MI,2.0,KKR,0.0,DC,1.0,SRH,0.0,RR,0.0,---,0.0,PBKS,0.0,LSG,0.0,RCB,2.0,GT,0.0,DC,0.0,PBKS,1.0,RR,0.0,GT,1.0,RCB,1.0,RR,0.0,PBKS,2.0,28.5
17,19,gladiator30,Gladiator,RR,0.0,SRH,0.0,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,MI,0.0,LSG,1.5,CSK,0.0,GT,1.0,DC,1.0,CSK,0.0,LSG,1.5,PBKS,0.0,RCB,2.0,DC,0.0,CSK,1.0,PBKS,1.0,RR,0.0,MI,1.0,RCB,0.0,DC,0.0,LSG,2.0,PBKS,0.0,CSK,0.0,GT,1.0,DC,1.0,MI,1.0,RCB,3.0,CSK,0.0,KKR,0.0,LSG,0.0,DC,0.0,GT,0.0,DC,0.0,CSK,0.0,MI,1.0,GT,1.0,CSK,0.0,KKR,2.0,PBKS,2.0,27.0
18,20,billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,0.0,LSG,1.0,CSK,0.0,MI,0.0,DC,2.0,CSK,0.0,MI,1.0,LSG,0.0,RCB,0.0,KKR,1.0,MI,0.0,CSK,0.0,RR,2.0,SRH,0.0,MI,0.0,LSG,1.5,CSK,0.0,GT,1.0,RCB,0.0,CSK,0.0,LSG,1.5,SRH,1.5,RCB,2.0,MI,2.0,CSK,1.0,KKR,0.0,RR,0.0,MI,1.0,RCB,0.0,GT,2.0,RR,0.0,RCB,2.0,CSK,0.0,KKR,0.0,LSG,0.0,SRH,0.0,RR,0.0,CSK,0.0,KKR,0.0,LSG,0.0,RCB,2.0,RR,1.0,KKR,1.0,CSK,0.0,RR,0.0,SRH,0.0,CSK,0.0,RR,0.0,LSG,0.0,26.5
19,21,gooffyluffyy,Luffy,---,0.0,SRH,0.0,CSK,0.0,GT,1.0,SRH,0.0,CSK,0.0,MI,1.0,LSG,0.0,GT,1.0,SRH,0.0,LSG,1.0,CSK,0.0,RR,2.0,GT,2.0,MI,0.0,KKR,0.0,CSK,0.0,RR,0.0,DC,1.0,CSK,0.0,LSG,1.5,PBKS,0.0,RR,0.0,MI,2.0,CSK,1.0,KKR,0.0,DC,1.0,SRH,0.0,PBKS,1.0,DC,0.0,LSG,2.0,PBKS,0.0,CSK,0.0,GT,1.0,LSG,0.0,MI,1.0,RR,0.0,CSK,0.0,PBKS,0.0,MI,2.0,DC,0.0,GT,0.0,DC,0.0,CSK,0.0,MI,1.0,GT,1.0,CSK,0.0,RR,0.0,PBKS,2.0,25.5
19,21,hungry_wolf,HungrY_WolF,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,RR,2.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,SRH,0.0,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,LSG,0.0,PBKS,1.0,RR,0.0,SRH,0.0,PBKS,1.0,DC,0.0,LSG,2.0,PBKS,0.0,CSK,0.0,GT,1.0,LSG,0.0,SRH,0.0,RR,0.0,SRH,1.0,KKR,0.0,LSG,0.0,DC,0.0,RR,1.0,DC,0.0,PBKS,1.0,RR,0.0,GT,1.0,RCB,1.0,KKR,2.0,LSG,0.0,25.5
20,23,astrobot_7,PS_USER,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,DC,2.0,RR,2.0,GT,2.0,MI,0.0,LSG,1.5,CSK,0.0,RR,0.0,DC,1.0,CSK,0.0,LSG,1.5,PBKS,0.0,RR,0.0,MI,2.0,CSK,1.0,PBKS,1.0,RR,0.0,MI,1.0,PBKS,1.0,GT,2.0,RR,0.0,PBKS,0.0,CSK,0.0,GT,1.0,LSG,0.0,MI,1.0,RR,0.0,CSK,0.0,PBKS,0.0,LSG,0.0,DC,0.0,RR,1.0,DC,0.0,CSK,0.0,RR,0.0,GT,1.0,CSK,0.0,KKR,2.0,LSG,0.0,25.0
20,23,roarycat,RoaryCat,RR,0.0,SRH,0.0,---,0.0,MI,0.0,SRH,0.0,RR,2.0,MI,1.0,PBKS,1.0,GT,1.0,SRH,0.0,MI,0.0,DC,2.0,RR,2.0,SRH,0.0,MI,0.0,---,0.0,CSK,0.0,RR,0.0,RCB,0.0,CSK,0.0,LSG,1.5,SRH,1.5,RR,0.0,MI,2.0,LSG,0.0,PBKS,1.0,RR,0.0,SRH,0.0,PBKS,1.0,GT,2.0,LSG,2.0,PBKS,0.0,MI,2.0,GT,1.0,LSG,0.0,SRH,0.0,RR,0.0,SRH,1.0,PBKS,0.0,LSG,0.0,DC,0.0,RR,1.0,DC,0.0,CSK,0.0,RR,0.0,SRH,0.0,CSK,0.0,RR,0.0,LSG,0.0,25.0
21,25,sriprakash,Sri Prakash,---,0.0,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,KKR,0.0,PBKS,1.0,---,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,---,0.0,LSG,1.5,PBKS,0.0,RR,0.0,DC,0.0,LSG,0.0,PBKS,1.0,DC,1.0,SRH,0.0,---,0.0,DC,0.0,---,0.0,PBKS,0.0,CSK,0.0,GT,1.0,LSG,0.0,MI,1.0,RCB,3.0,CSK,0.0,PBKS,0.0,---,0.0,DC,0.0,GT,0.0,---,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,RR,0.0,PBKS,2.0,24.0
22,26,max._.caulfield,Max,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,DC,2.0,RR,2.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,RCB,1.0,---,0.0,---,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RR,0.0,DC,0.0,LSG,0.0,KKR,0.0,DC,1.0,---,0.0,RCB,0.0,DC,0.0,RR,0.0,---,0.0,---,0.0,KKR,0.0,DC,1.0,MI,1.0,RR,0.0,CSK,0.0,KKR,0.0,MI,2.0,DC,0.0,GT,0.0,KKR,1.0,PBKS,1.0,RR,0.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,23.0
23,27,ind_mafia_sahil,IND_Mafia_Sahil,---,0.0,SRH,0.0,RCB,1.0,MI,0.0,DC,2.0,CSK,0.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,SRH,0.0,RCB,1.0,LSG,1.5,PBKS,1.5,GT,1.0,DC,1.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,LSG,0.0,PBKS,1.0,DC,1.0,SRH,0.0,RCB,0.0,DC,0.0,LSG,2.0,PBKS,0.0,MI,2.0,---,0.0,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,22.0
24,28,dag_21,daggr,RR,0.0,SRH,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,MI,1.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,DC,2.0,PBKS,0.0,SRH,0.0,---,0.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,0.0,KKR,0.0,---,0.0,SRH,0.0,PBKS,1.0,GT,2.0,LSG,2.0,PBKS,0.0,---,0.0,KKR,0.0,---,0.0,SRH,0.0,RR,0.0,CSK,0.0,PBKS,0.0,MI,2.0,DC,0.0,GT,0.0,KKR,1.0,PBKS,1.0,RR,0.0,GT,1.0,CSK,0.0,KKR,2.0,PBKS,2.0,21.5
24,28,the_mizer,DrVimp,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,CSK,0.0,MI,1.0,LSG,0.0,GT,1.0,KKR,1.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,RCB,1.0,KKR,0.0,PBKS,1.5,RR,0.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,LSG,0.0,KKR,0.0,DC,1.0,MI,1.0,RCB,0.0,DC,0.0,LSG,2.0,RCB,2.0,MI,2.0,KKR,0.0,LSG,0.0,SRH,0.0,RCB,3.0,SRH,1.0,PBKS,0.0,LSG,0.0,DC,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,21.5
25,30,elprofesor6338,Èl Profesor™,---,0.0,---,0.0,---,0.0,MI,0.0,SRH,0.0,CSK,0.0,KKR,0.0,PBKS,1.0,RCB,0.0,---,0.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,RCB,1.0,---,0.0,CSK,0.0,GT,1.0,RCB,0.0,CSK,0.0,GT,0.0,---,0.0,---,0.0,MI,2.0,CSK,1.0,KKR,0.0,DC,1.0,MI,1.0,RCB,0.0,GT,2.0,RR,0.0,RCB,2.0,MI,2.0,GT,1.0,LSG,0.0,MI,1.0,---,0.0,CSK,0.0,PBKS,0.0,LSG,0.0,RCB,2.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,21.0
